File: MlModels\PostModels\PostTrainingData.csv
````````
Content,Prediction
"Happy New Year! What was your win this week? Looking back on your week, what was something you're proud of? All wins count, big or small! ?? Examples include getting a promotion, starting a new project, fixing a tricky bug, or putting the laundry away immediately!",Normal
"Congratulations on completing your project! Keep up the great work and continue pushing forward.",Normal
"Welcome to our community! We're excited to have you here. Feel free to ask questions anytime.",Normal
"Great tutorial on ASP.NET Core! This helped me understand dependency injection much better. Thanks for sharing!",Normal
"Just deployed my first .NET 9 application! So excited about the new features and performance improvements.",Normal
"Looking for recommendations on best practices for Entity Framework Core. Any suggestions?",Normal
"Celebrating 5 years of coding today! Thank you to everyone who helped me along the way.",Normal
"Does anyone have experience with Blazor Server vs Blazor WebAssembly? Which one should I choose?",Normal
"Sharing my journey from junior to senior developer. Hard work pays off! Never give up on your dreams.",Normal
"Just fixed a critical bug that's been bothering me for weeks. Feels amazing!",Normal
"What are your favorite C# features in .NET 9? Mine is the improved LINQ performance.",Normal
"Thank you for the amazing feedback on my last post! Your support means everything to me.",Normal
"Starting a new open-source project. Contributions are welcome! Let's build something great together.",Normal
"Reminder: Take breaks when coding. Your mental health is more important than any deadline.",Normal
"Successfully migrated our legacy app to .NET 9. The performance boost is incredible!",Normal
"Question: How do you handle authentication in your ASP.NET Core apps?",Normal
"Just passed my Microsoft certification exam! Time to celebrate!",Normal
"Sharing a quick tip: Always validate user input to prevent security vulnerabilities.",Normal
"Working on a cool AI feature using ML.NET. Excited to see how it turns out!",Normal
"New blog post: Understanding async/await in C#. Check it out and let me know your thoughts!",Normal
"Anyone attending .NET Conf this year? Would love to connect!",Normal
"Appreciation post for all the amazing developers in this community. You all rock!",Normal
"Pro tip: Use code reviews to improve code quality and learn from your teammates.",Normal
"Just launched my portfolio website. Feedback is appreciated!",Normal
"What's your go-to resource for learning new programming concepts?",Normal
"Celebrating reaching 1000 followers! Thank you all for your support!",Normal
"Saturday morning coding session with coffee. What are you working on this weekend?",Normal
"Reminder to document your code. Future you will thank you!",Normal
"Just discovered a great VS Code extension for C# developers. Game changer!",Normal
"Sharing my experience transitioning from Java to C#. Happy to answer questions!",Normal
"Exploring microservices architecture with .NET. Any recommended resources?",Normal
"Just attended an amazing tech conference. Learned so much about cloud computing!",Normal
"Debugging tip: Use breakpoints effectively to understand code flow better.",Normal
"What testing frameworks do you prefer for .NET applications? xUnit or NUnit?",Normal
"Feeling grateful for the supportive developer community. You all inspire me daily!",Normal
"Just refactored a messy codebase. Clean code feels so satisfying!",Normal
"Question: Best practices for API versioning in ASP.NET Core?",Normal
"Excited to share my first technical article! Link in comments.",Normal
"Monday motivation: Every expert was once a beginner. Keep learning!",Normal
"How do you stay updated with the latest .NET developments?",Normal
"Successfully integrated SignalR into my project. Real-time features are awesome!",Normal
"Weekend project: Building a chat application with Blazor. So fun!",Normal
"PSA: Remember to secure your API endpoints properly. Security first!",Normal
"Just discovered the power of LINQ. C# is amazing!",Normal
"Looking for feedback on my code architecture. Open to constructive criticism!",Normal
"Celebrating my first pull request being merged! Contributing to open source feels great!",Normal
"What are your thoughts on clean architecture vs onion architecture?",Normal
"Friday feeling! What's everyone working on for the weekend?",Normal
"Tip: Use dependency injection to make your code more testable and maintainable.",Normal
"Just learned about minimal APIs in .NET 9. They're so elegant!",Normal
"Thank you to everyone who answered my question yesterday. This community is awesome!",Normal
"Sharing a helpful debugging story. Sometimes the solution is simpler than you think!",Normal
"What's your favorite design pattern and why?",Normal
"Just published my first NuGet package! Excited and nervous!",Normal
"Learning Docker to containerize my .NET applications. Any tips?",Normal
"Code review request: Would appreciate feedback on my repository pattern implementation.",Normal
"Motivational quote: The only way to do great work is to love what you do.",Normal
"What IDE do you use? Visual Studio, VS Code, or Rider?",Normal
"Just implemented CI/CD for my project. Automation is a game changer!",Normal
"Question: How do you handle exceptions in your applications?",Normal
"BUY CHEAP FOLLOWERS NOW!!! CLICK HERE!!!",Rude
"YOU ARE A LOSER! Everyone hates you and your stupid posts!",Rude
"Get rich quick! Make $10000 in one day! No experience needed!!! Click now!!!",Rude
"F*** you and your pathetic blog. Nobody cares about your opinion.",Rude
"SPAM SPAM SPAM SPAM Click here for FREE money!!!",Rude
"Your code sucks! You have no idea what you're doing. Give up programming!",Rude
"Buy now! Limited time offer!!! Don't miss out!!! Act fast!!!",Rude
"This is the dumbest thing I've ever read. You're an idiot.",Rude
"VIAGRA FOR SALE!!! Best prices!!! Click here now!!!",Rude
"Why are you even trying? You'll never be a good developer. Just quit.",Rude
"WIN AN IPHONE!!! Just click this link and enter your credit card details!!!",Rude
"Your tutorial is garbage. I learned nothing. Waste of time.",Rude
"GET FOLLOWERS FAST!!! 10000 followers for $5!!! BUY NOW!!!",Rude
"You're such a n00b. Go back to tutorial hell where you belong.",Rude
"MAKE MONEY ONLINE!!! Work from home!!! $500/day guaranteed!!!",Rude
"This post is useless. Delete your account.",Rude
"FREE CRYPTO!!! Send 1 BTC get 2 BTC back!!! Limited time!!!",Rude
"Your code looks like it was written by a monkey. Seriously terrible.",Rude
"CLICK HERE FOR HOT SINGLES IN YOUR AREA!!!",Rude
"Why do you even bother posting? Nobody reads this crap anyway.",Rude
"BUY LIKES AND SHARES!!! Cheap prices!!! Instant delivery!!!",Rude
"You're completely wrong about everything. Do some research before posting.",Rude
"LOSE 30 POUNDS IN 7 DAYS!!! Magic pill!!! No exercise needed!!!",Rude
"This is the worst explanation I've seen. Are you even a developer?",Rude
"INVESTMENT OPPORTUNITY!!! Double your money in 24 hours!!! Risk-free!!!",Rude
"You have no talent. Find a different career.",Rude
"WIN A FREE CAR!!! Just click and enter your personal information!!!",Rude
"Everything you wrote is wrong. You don't know what you're talking about.",Rude
"BUY WEBSITE TRAFFIC!!! 1 million visitors for $10!!!",Rude
"Your posts make me cringe. Please stop embarrassing yourself.",Rude
"BUSINESS OPPORTUNITY!!! Join my team and earn $$$ from home!!!",Rude
"This is completely useless information. Why did you even post this?",Rude
"FREE GIFT CARDS!!! Amazon, iTunes, Google Play!!! Click now!!!",Rude
"Your coding skills are pathetic. Stick to something you're actually good at.",Rude
"CONGRATULATIONS!!! You've won $1,000,000!!! Claim your prize now!!!",Rude
"Nobody asked for your opinion. Keep it to yourself.",Rude
"URGENT!!! Your account has been compromised!!! Click here to verify!!!",Rude
"This is the stupidest thing I've read all day. Seriously?",Rude
"GET PREMIUM ACCOUNTS FREE!!! Netflix, Spotify, Disney+!!! Limited time!!!",Rude
"You clearly have no idea what you're doing. Stop pretending to be a developer.",Rude
"WORK FROM HOME!!! No skills required!!! $200/hour guaranteed!!!",Rude
"This post is trash. Your entire blog is trash. Just quit.",Rude
"FREE MONEY GLITCH!!! PayPal exploit!!! Act fast before patched!!!",Rude
"Why would anyone listen to you? You're obviously incompetent.",Rude
"BUY INSTAGRAM FOLLOWERS!!! 50K followers for $20!!! Real accounts!!!",Rude
"Your advice is completely wrong and potentially harmful. Do better.",Rude
"CLICK HERE TO CLAIM YOUR INHERITANCE!!! $5 million waiting!!!",Rude
"I can't believe people actually read your garbage posts.",Rude
"DIABETES CURE!!! Natural remedy!!! Doctors hate this trick!!!",Rude
"You're wasting everyone's time with these low-quality posts.",Rude
"JOIN MY CRYPTO PUMP GROUP!!! 1000% gains guaranteed!!!",Rude
"This is embarrassing. Are you really this clueless?",Rude
"FREE V-BUCKS GENERATOR!!! Unlimited Fortnite currency!!!",Rude
"Your code is so bad it gave me a headache. Learn to code properly.",Rude
"WORK FROM HOME OPPORTUNITY!!! Make $10K/month!!! No experience!!!",Rude
"Please stop posting. You're making yourself look stupid.",Rude
